,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence
0,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2021-04-23,82,191013,0.65,0.0215,0.825,2.44e-05,0.0936,0.593
1,Heat Waves,Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,2020-06-29,79,238805,0.761,0.44,0.525,6.7e-06,0.0921,0.531
2,Harleys In Hawaii,Smile,Katy Perry,3B4etxytImrRKQgV3XHjnR,2020-08-28,75,185480,0.721,0.162,0.751,6.59e-06,0.118,0.738
3,Every Summertime,Every Summertime,NIKI,68HocO7fx9z0MgDU0ZPHro,2021-08-10,77,215686,0.628,0.393,0.676,6.94e-05,0.0978,0.723
4,Fortune Cookie Yang Mencinta,Mahagita: Kamikyokutachi,JKT48,469lObbmed3vMkCi7EaXib,2016-04-03,14,282972,0.713,0.0104,0.962,0.0,0.226,0.785
5,Karena Kusuka Dirimu,Heavy Rotation,JKT48,5MvvfIkbTM4MxCJa3gfh3R,2013,7,248293,0.424,0.000562,0.931,0.00453,0.107,0.689
6,Rapsodi,Rapsodi,JKT48,7rlrbIP5lcQH8s9MKL0qPf,2020-01-22,15,238672,0.596,0.561,0.594,0.0,0.151,0.487
7,River,Mahagita: Kamikyokutachi,JKT48,21UirZHRZi1xTc2Fx50nQ8,2016-04-03,5,281671,0.657,0.0374,0.887,0.0,0.665,0.652
8,あの夢をなぞって,あの夢をなぞって,YOASOBI,4BE1OloRc9xwjyqA4wFFuN,2020-01-18,63,242666,0.537,0.217,0.793,0.000361,0.143,0.73
9,Heavy Rotation,Heavy Rotation,JKT48,7EdzxaYQzbOqOlmwzjDFwX,2013,7,282613,0.397,0.002,0.907,0.0,0.281,0.33
10,Let It All Go,Let It All Go,Birdy,70K0ezmzYEZeqoSaZMyP7o,2015-08-06,65,280757,0.383,0.817,0.43,1.04e-06,0.0869,0.174
11,Tafsir Mistik,Ombak Banyu Asmara,The Panturas,7aPrTAoaoLGMo1J19RifzN,2021-09-10,49,248272,0.522,0.355,0.824,0.158,0.757,0.616
12,Mistikus Cinta,Cintailah Cinta,Dewa,50eBgQYY23rTTIoHVDuSIw,2002,52,337973,0.534,0.00357,0.87,8.44e-05,0.0548,0.579
13,Sanctuary,Nectar,Joji,0rOLFkjY5DSIViVBNnzOuK,2020-09-25,70,180018,0.552,0.387,0.638,0.00014,0.374,0.332
14,i <3 u,Wachito Rico,boy pablo,5EcGSkkNBMAWOePvLgKde1,2020-10-23,64,255000,0.68,0.759,0.263,0.536,0.108,0.232
15,Whiskey Bottle,Whiskey Bottle,GANGGA,6FPC5aJiqfqccXxlJoUmwv,2021-06-25,56,150720,0.591,0.818,0.504,0.0108,0.106,0.289
16,double take,double take,dhruv,47isJpIIO8m7BJEhiFhnaf,2019-05-24,72,171743,0.456,0.839,0.437,0.0,0.218,0.209
17,Love Me,Love Me,RealestK,4qgMPzf9QOETWQFUcFkHD4,2022-02-18,66,207546,0.569,0.67,0.325,0.0,0.141,0.274
18,Swim,Chase Atlantic,Chase Atlantic,3M0lSi5WW79CXQamgSBIjx,2017-10-04,81,228786,0.666,0.27,0.542,0.0,0.0765,0.0771
19,Give Me the Night,Give Me the Night,George Benson,5gaUkg5JNk8c4mr2jnpX8H,1980-07-16,60,301026,0.835,0.475,0.765,0.0692,0.12,0.855
20,Ghost,Justice,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,2021-03-19,85,153190,0.601,0.185,0.741,2.91e-05,0.415,0.441
21,An Art Gallery Could Never Be As Unique As You,An Art Gallery Could Never Be As Unique As You,mrld,1Ry0l6trESL8T4ddsRaYLE,2019-12-11,0,158677,0.48,0.838,0.299,0.0,0.133,0.196
22,Right Here Right Now (Feat. LOCO & JAY PARK),Coming To You Live,DPR LIVE,47UUNYT0lsDnX9EYHIBf3L,2017-03-15,46,213040,0.742,0.0619,0.634,0.0,0.15,0.42
23,BOHEMIAN,ROMANTIQUE (Mastered by Bernie Grundman),Taeko Onuki,5ULmKQMAwbdVxHNvDtsUzm,1980-07-21,40,249826,0.733,0.659,0.408,0.00256,0.0684,0.411
24,No Sleep (feat. Bonn),No Sleep (feat. Bonn),Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,2019-02-21,62,207094,0.44,0.129,0.635,0.0,0.121,0.327
25,FOOL,FATE NUMBER FOR,WINNER,1mTlfqaoh3piVp3Uhdv7jB,2017-04-04,48,221793,0.652,0.721,0.602,0.0,0.108,0.521
26,ONLY,4 ONLY,LeeHi,6TBJkXHPhu3EsMk1bshwuI,2021-09-09,76,240906,0.536,0.892,0.296,0.0,0.0873,0.151
27,W.H.U.T,W.H.U.T (Wanna Hold U Tight),Aisha Retno,4dtmj7X21gunWoQf98hW5L,2021-12-10,65,174000,0.378,0.679,0.646,0.0,0.117,0.398
28,Cinematic Love,Cinematic Love,Yang Da Il,3rB5fYZr3nSD2tBAvfYPb2,2018-04-13,44,269161,0.364,0.461,0.549,0.0,0.143,0.298
