iter	Passed	Remaining
0	133	13263
1	134	6582
2	134	4354
3	135	3241
4	135	2572
5	135	2126
6	136	1807
7	136	1567
8	136	1381
9	136	1232
10	137	1110
11	137	1008
12	137	922
13	138	848
14	138	784
15	138	728
16	139	678
17	139	634
18	139	595
19	139	559
20	140	527
21	140	498
22	140	471
23	141	446
24	141	424
25	141	403
26	141	383
27	142	365
28	142	349
29	142	333
30	143	318
31	143	305
32	143	292
33	144	280
34	144	268
35	144	257
36	145	247
37	145	237
38	145	228
39	146	219
40	146	210
41	146	202
42	147	194
43	147	187
44	147	180
45	148	173
46	148	167
47	148	160
48	148	154
49	149	149
50	149	143
51	149	138
52	150	133
53	150	128
54	150	123
55	150	118
56	151	114
57	151	109
58	151	105
59	152	101
60	152	97
61	152	93
62	153	89
63	153	86
64	153	82
65	154	79
66	154	76
67	154	72
68	155	69
69	155	66
70	155	63
71	156	60
72	156	57
73	156	55
74	157	52
75	157	49
76	157	47
77	157	44
78	158	42
79	158	39
80	159	37
81	159	34
82	159	32
83	159	30
84	160	28
85	160	26
86	160	24
87	161	21
88	161	19
89	161	17
90	162	16
91	162	14
92	162	12
93	163	10
94	163	8
95	163	6
96	164	5
97	164	3
98	164	1
99	165	0
